CORD,DISC,EARS,KNEE,LEUKOCYTE,METACARPUS,QUADRICEPS,RETINA,SKULL,SOCKET,STERNUM,VEIN
S,A,Z,D,P,Q,U,F,F,S,S,N,C,V,W,H,R,J,U,S
Y,R,T,Q,T,S,Q,B,P,K,I,S,H,O,P,I,A,W,Q,U
M,C,M,M,H,U,T,E,H,E,L,E,U,K,O,C,Y,T,E,P
N,S,C,C,W,S,C,E,V,Z,E,G,X,L,U,T,R,Q,B,R
M,Y,Q,P,S,I,I,K,R,S,P,E,Q,X,L,J,Z,L,O,A
J,G,T,F,R,I,U,B,H,N,Z,O,Z,G,D,G,L,O,O,C
A,H,M,D,N,L,D,J,U,F,U,O,M,A,C,S,I,F,Q,A
U,E,A,M,L,O,G,L,O,R,V,M,B,U,E,E,S,T,P,T
E,U,G,U,D,U,U,U,K,N,Z,L,Z,K,S,V,R,V,N,E
Q,Y,B,P,X,A,N,O,M,B,F,M,S,K,O,G,A,I,S,M
C,O,R,D,G,N,I,K,J,Z,U,S,K,Y,C,V,E,G,K,T
K,T,H,R,S,N,D,D,U,H,B,X,G,A,K,W,W,L,M,S
Y,S,K,Z,E,B,R,Q,B,W,V,O,J,C,E,X,F,R,W,N
L,L,U,K,S,K,U,L,I,N,D,R,Z,R,T,M,E,I,G,K
Y,H,P,E,N,P,Q,Q,T,Q,E,E,V,V,A,T,B,M,D,I
Q,O,V,R,H,E,Q,Q,I,H,T,C,Y,X,I,A,J,H,P,S
C,R,T,O,U,C,E,L,F,B,X,L,A,N,K,W,S,A,G,C
V,G,A,R,X,G,R,Y,O,V,J,V,A,L,B,K,P,O,P,N
N,H,B,F,J,L,A,M,H,L,U,Y,B,E,V,R,K,L,F,C
R,K,K,J,P,T,H,K,R,E,F,H,K,K,D,Q,E,B,U,J
