BIG,BITE-SIZED,CLOSED,CONNECTION,DEBONAIR,DESK,DISCUSSION,EAGER,ELECTRIC,EXPENSIVE,FIRE,FORTUNATE,HANDSOME,INTERNAL,JOIN,KNIT,LETTUCE,LEWD,LONELY,NEEDY,QUEUE,QUICKSAND,WANDER,WRETCHED
F,E,L,F,L,P,D,Q,Z,P,K,B,C,L,G,T,L,B,N,U,E,N,I,F,N,Y,X,A,R,S,D,B,R,X,M,N,A,U,X,B,
E,L,F,Y,L,E,W,D,O,J,K,N,L,V,E,R,Y,V,B,F,A,M,S,S,O,J,Y,O,R,J,H,W,Q,Y,E,K,T,Q,G,W,
C,N,E,L,I,E,D,Y,D,J,Z,L,U,B,B,T,X,I,U,D,H,T,Y,L,E,N,O,L,C,V,P,V,F,S,G,B,C,J,Q,C,
O,I,S,A,C,Q,S,M,M,M,I,I,C,G,M,T,T,J,E,R,L,V,G,J,Y,X,R,D,Q,Z,B,P,S,N,K,Y,S,S,S,O,
Q,F,R,Q,S,K,C,L,C,J,G,D,V,C,T,A,G,U,L,R,L,Y,B,D,M,Q,R,O,N,S,E,F,K,V,O,W,I,Y,I,X,
O,D,Y,T,P,A,I,V,P,J,U,I,P,W,Z,D,O,I,C,T,Y,Q,V,I,S,C,Q,P,X,L,Y,W,S,R,M,O,W,P,X,H,
A,I,J,D,C,G,T,G,J,Z,M,I,L,F,U,U,E,T,D,E,D,A,E,B,K,B,R,W,F,Y,H,Q,M,S,I,Q,H,C,G,W,
U,E,J,T,V,E,L,T,I,G,B,M,Q,X,J,C,N,P,R,F,E,E,N,F,R,R,V,N,O,Z,H,V,Q,Z,R,W,H,B,U,X,
E,I,F,C,R,D,L,C,S,E,P,F,I,W,L,H,K,Q,G,S,E,X,I,V,B,P,E,W,N,W,N,R,V,Q,O,U,L,E,B,I,
D,K,O,J,O,A,K,E,E,N,B,R,H,J,C,Z,F,K,U,T,N,N,L,K,F,E,H,F,Q,J,C,I,Q,Q,F,X,C,V,V,P,
W,G,U,L,H,E,L,I,K,Z,V,Y,M,Z,Z,F,T,O,F,Q,D,R,F,V,J,Z,X,M,O,W,R,Y,F,H,R,G,F,J,I,W,
V,O,B,C,I,Z,H,D,H,A,T,K,X,C,Y,V,S,T,B,P,J,A,T,E,W,A,P,L,X,R,N,D,N,X,Q,P,B,X,D,S,
D,T,R,C,E,E,W,O,C,R,X,W,Z,W,W,O,M,B,S,G,Z,Z,X,C,K,Z,E,L,A,K,O,V,P,X,Q,C,T,Q,Y,Z,
U,Z,R,G,D,C,X,J,P,P,B,G,Y,M,R,A,F,B,Z,C,P,K,Y,Q,B,V,L,B,H,Y,B,T,X,L,X,L,L,E,T,V,
S,I,N,H,I,T,U,C,H,V,T,R,G,I,L,D,N,R,Y,E,W,I,E,E,B,O,S,L,X,G,Y,V,R,K,N,P,L,F,V,K,
Y,D,C,T,O,O,K,M,P,C,D,P,U,D,M,K,B,K,N,V,O,B,G,V,Z,S,B,O,W,A,E,C,R,K,U,B,O,X,D,X,
T,K,S,Z,E,E,Q,K,L,B,N,Q,E,L,M,Y,Y,D,R,X,F,V,Q,B,B,J,B,B,Q,E,H,J,W,N,N,C,D,N,B,O,
K,P,Y,R,B,D,G,N,L,H,O,J,U,R,R,V,B,U,G,O,L,A,N,R,E,T,N,I,V,R,H,O,N,J,U,E,U,U,W,N,
M,O,J,N,T,O,I,R,N,P,I,X,V,I,O,F,E,D,R,R,W,I,L,C,T,D,V,P,E,B,D,L,A,D,Z,D,W,Q,X,B,
S,O,Y,Q,Z,Z,P,O,A,R,T,C,M,D,C,Z,H,T,P,A,X,F,I,T,E,D,G,G,X,E,A,H,Z,I,N,T,H,Y,E,B,
L,H,Y,P,O,W,B,B,B,A,C,T,P,A,W,K,U,J,N,Y,G,C,B,N,E,Q,A,L,K,Q,B,H,S,A,O,E,K,H,G,Z,
R,U,Y,N,J,F,Q,R,J,A,E,D,V,D,E,N,S,L,X,N,N,E,P,Z,Z,E,R,W,A,F,V,E,W,Z,S,M,T,X,Q,D,
A,S,J,N,D,U,G,Y,C,N,N,G,K,Q,A,L,G,A,I,I,G,K,H,G,J,V,D,Q,P,I,T,I,Y,B,U,N,D,O,H,H,
E,U,I,S,E,X,U,H,V,Y,N,T,L,T,T,N,C,E,N,G,C,R,Z,P,Z,L,P,D,P,I,H,J,H,U,P,U,G,P,N,F,
K,Y,H,Y,J,N,X,Q,K,W,O,C,E,V,T,O,I,O,M,D,L,J,M,T,Y,H,O,G,B,I,R,C,C,H,R,D,R,D,N,P,
M,K,D,V,D,O,Y,X,B,Y,C,E,C,U,Z,R,M,I,C,K,M,E,O,H,C,Q,M,Y,G,J,X,Z,K,I,E,H,O,T,K,E,
L,T,M,E,U,B,I,U,C,B,F,Q,L,Y,Q,P,N,K,B,Y,N,K,N,P,C,L,H,Y,F,W,B,R,F,P,Z,U,K,U,I,C,
P,B,S,E,Y,B,R,N,L,F,Q,G,O,C,I,C,M,U,A,U,J,P,T,P,H,X,T,A,W,V,I,P,P,Q,E,M,Z,O,D,K,
Y,K,V,F,U,G,W,Q,D,K,V,M,S,S,E,W,L,F,H,C,X,S,O,J,F,N,E,O,E,R,F,S,C,T,F,K,K,X,O,G,
O,Z,H,L,V,H,A,N,D,S,O,M,E,R,W,U,T,I,N,K,C,C,J,S,B,X,A,K,X,A,H,Q,X,I,N,D,Q,M,H,N,
W,T,Q,C,H,I,W,X,R,U,J,H,D,A,I,E,E,W,R,R,K,G,J,U,S,S,R,J,P,O,P,F,V,L,I,Q,M,P,P,C,
U,E,T,F,F,A,Y,T,U,Y,P,I,M,N,Y,G,Y,U,S,X,W,W,I,W,X,Y,T,E,E,M,V,K,O,I,Q,H,M,G,Y,K,
H,R,O,C,N,M,F,R,U,Q,Q,D,T,E,X,X,S,Q,Q,T,D,E,D,B,A,R,C,C,N,C,X,M,G,D,D,U,B,A,I,U,
M,J,O,D,M,K,G,L,M,Q,W,Z,Z,Y,T,F,A,V,T,M,O,I,H,G,I,N,U,Z,S,Q,Z,H,Q,S,E,C,F,O,C,Q,
P,L,E,I,J,L,H,D,L,D,N,N,A,M,U,I,K,R,O,K,G,O,G,A,P,W,F,T,I,S,W,I,I,S,H,Z,Z,M,X,T,
